FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Cocaine,12,85.3853
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Ecstasy,1,0.0022
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Marijuana,48,2153.436
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Methamphetamine,6,19.8648
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other Drugs**,5,1.0767
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Cocaine,8,172.7883
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Fentanyl,10,106.0676
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Heroin,2,12.4559
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Marijuana,12,54.0535
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Methamphetamine,19,150.0298
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other Drugs**,3,14.5116
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Cocaine,4,0.079
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Fentanyl,14,118.5432
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Heroin,1,0.0258
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Marijuana,50,167.6545
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Methamphetamine,19,156.9403
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other Drugs**,9,2.3274
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Fentanyl,1,16.17
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Marijuana,4,0.307
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Methamphetamine,2,0.0066
2022,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Cocaine,2,9.8128193740724
2022,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Fentanyl,2,1.68874092692
2022,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,8,3.6158676977406
2022,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Methamphetamine,2,0.0216934865808
2022,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,4,5.015957385024
2022,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,5,297.4607573025366
2022,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,11,3.2788690840474
2022,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Heroin,1,4.2549216566
2022,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ketamine,6,17.0968484181
2022,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Khat (Catha Edulis),3,49.48495932852
